"","LSOA_CODE","items","quantity","cost","drug_type"
"16440","E01017310",11.1617854135549,1506.76314571382,62.8668236777755,"pain_medications"
"16441","E01017311",10.1244029819391,1387.72557508982,57.7370007969159,"pain_medications"
"16442","E01017312",62.4350475163332,7683.17407778865,320.680672067528,"pain_medications"
"16443","E01017315",50.4374493755842,6208.22283935084,259.10103978974,"pain_medications"
"16444","E01017316",24.8763234141519,3506.79844054635,144.359659070753,"pain_medications"
"16445","E01017317",38.9442293666961,5158.39956111658,212.968988254042,"pain_medications"
"16446","E01017318",31.9988988900231,4241.24845801891,175.094424552204,"pain_medications"
"16447","E01017319",32.6152685467641,4319.7521806931,178.322761009365,"pain_medications"
"16448","E01017320",26.0757503688843,3454.42868491748,142.626395701688,"pain_medications"
"16449","E01017321",9.07524777912404,1236.39314059927,51.4391087984988,"pain_medications"
"16450","E01017322",10.2906612585158,1412.84907423153,58.9357917049843,"pain_medications"
"16451","E01017323",29.3956449355946,3887.59765889715,160.571664228466,"pain_medications"
"16452","E01017324",39.0649338841676,5133.15964503088,211.988548599449,"pain_medications"
"16453","E01017325",9.64995240282468,1322.7744762737,55.1852407661934,"pain_medications"
"16454","E01017326",11.3817410663417,1556.35751531738,64.8039577802955,"pain_medications"
"16455","E01017327",10.7801049282888,1473.97824463834,61.4011737577167,"pain_medications"
"16456","E01017328",10.5599515843496,1447.34479385528,60.3944971270794,"pain_medications"
"16457","E01017329",26.2533816310981,3692.42671683429,152.09794330357,"pain_medications"
"16458","E01017331",20.1705846975133,2760.01223509048,115.04566051678,"pain_medications"
"16459","E01017332",13.5314259818634,1858.50147341455,77.4639422651741,"pain_medications"
"16460","E01017333",11.6632546540869,1605.19744691871,66.7819977855727,"pain_medications"
"16461","E01017334",11.9987033605379,1628.78567787472,67.4804074073332,"pain_medications"
"16462","E01017335",22.9178978672868,2566.33978204244,104.693967434629,"pain_medications"
"16463","E01017336",23.132764437325,2743.07124720415,111.722021837881,"pain_medications"
"16464","E01017337",22.4709560269645,2580.8444542167,106.279969766591,"pain_medications"
"16465","E01017338",17.897251384004,2038.46650042017,83.878646246328,"pain_medications"
"16466","E01017339",27.4352841339268,3040.87436619618,124.759815468148,"pain_medications"
"16467","E01017340",30.1414976413027,3302.76707616667,135.532170271938,"pain_medications"
"16468","E01017341",21.6867248132357,2447.15496253285,100.543186799383,"pain_medications"
"16469","E01017342",23.2988219862598,2585.91933273969,106.681499365702,"pain_medications"
"16470","E01017343",24.1561789760914,2691.69206722903,110.02290180399,"pain_medications"
"16471","E01017344",27.7507155363804,3138.09548317514,128.18169056337,"pain_medications"
"16472","E01017345",33.7770740785266,3692.70554443585,150.960294257582,"pain_medications"
"16473","E01017346",22.2531343056063,2488.77349352366,101.477411762683,"pain_medications"
"16474","E01017347",45.6838328530107,6043.49367211042,249.538973631141,"pain_medications"
"16475","E01017348",38.3277253579688,5081.99381518362,209.820559188143,"pain_medications"
"16476","E01017349",58.6474614261755,7772.56508488216,320.892369614643,"pain_medications"
"16477","E01017350",53.4742110594797,7091.91174663993,292.774976498104,"pain_medications"
"16478","E01017351",26.3299055484414,3236.92933942295,133.285588056117,"pain_medications"
"16479","E01017352",22.9845555239597,2845.92507105688,117.410198199711,"pain_medications"
"16480","E01017353",37.7939142396827,4662.63116274867,194.668973289812,"pain_medications"
"16481","E01017354",36.7384092196757,4515.25209956049,188.465124809971,"pain_medications"
"16482","E01017355",40.9359256146946,5409.44998804689,223.325383158442,"pain_medications"
"16483","E01017356",41.3715243474519,5471.43489877263,225.87858432275,"pain_medications"
"16484","E01017357",39.8087553543579,5271.7577233533,217.626471526491,"pain_medications"
"16485","E01017358",34.1307354776785,4519.4906759689,186.574521192148,"pain_medications"
"16486","E01017359",39.2373395552463,5186.07263819859,214.085713141751,"pain_medications"
"16487","E01017360",48.3614143682544,6396.90645152401,264.088587939295,"pain_medications"
"16488","E01017361",48.7058411396991,5993.22443935109,250.168787052481,"pain_medications"
"16489","E01017362",58.6201623757855,7210.63614824452,300.984329082419,"pain_medications"
"16490","E01017363",29.3248682166607,3320.97619423224,137.055099411191,"pain_medications"
"16491","E01017364",25.3220865145426,2869.25317376039,118.403065382729,"pain_medications"
"16492","E01017365",25.6082674824492,2890.85413612357,119.496919924555,"pain_medications"
"16493","E01017366",29.0799934522715,3312.26406727407,136.715717163877,"pain_medications"
"16494","E01017367",21.6819477267764,2820.57012275317,118.858800849455,"pain_medications"
"16495","E01017368",16.1627694600795,2159.97386722536,91.1687896936482,"pain_medications"
"16496","E01017369",22.8262755591844,2560.14193012521,109.406290038392,"pain_medications"
"16497","E01017370",35.7882770975859,4187.55588928182,172.852148738481,"pain_medications"
